id,title,release_date,overview,tagline,runtime,genres,origin_country,rating,revenue,budget,popularity,vote_average,vote_count
1025491,Freud's Last Session,2023-12-22,"On the eve of the Second World War, two of the greatest minds of the twentieth century, C.S. Lewis and Sigmund Freud converge for their own personal battle over the existence of God. The film interweaves the lives of Freud and Lewis, past, present, and through fantasy, bursting from the confines of Freud’s study on a dynamic journey.","September 3, 1939. The world is on the brink. A monumental session with two of the greatest minds of the twentieth century over the future of mankind and the existence of God.",109,Drama,"GB, US, , US, , US, US, IE, IE",6.655,1697993,10000000,1.8227,6.655,142
1222903,We Are Happy,2023-12-29,"Close friends Ferhat and Aslı realize that they need to be together after they are abandoned by their lovers. In the third year of their marriage, things are no longer going well. Ferhat tells Aslı that they are going on vacation and takes Aslı to a hotel for couples therapy, hoping to improve their relationship.",,95,Comedy,TR,4.375,1700000,0,1.0306,4.375,8
1001079,Iris and the Men,2023-12-21,"Iris has a seemingly flawless husband, two wonderful daughters, a dental practice with a relentless stream of customers, a nice apartment in an area she loves, friends who understand her... And she’ll soon be 50. And then a stranger plants a seed in her head: ""Take a lover"". Iris open Pandora’s box and candidates emerge as if from nowhere – as if it were raining men.",,98,"Comedy, Drama","FR, FR, FR",5.287,2436528,0,3.6759,5.287,82
1029947,Kaathal - The Core,2023-11-23,"Mathew Devassy, a retired bank manager decides to enter local panchayat elections. Unexpectedly, his wife Omana, shocks everyone by filing for divorce, claiming that Mathew is gay.",,112,Drama,IN,7.023,1743325,0,0.9497,7.023,22
1086591,Rascal Does Not Dream of a Knapsack Kid,2023-12-01,"Finally, the day of Mai's high school graduation has arrived. While Sakuta eagerly waits for his girlfriend, an elementary schooler who looks exactly like her appears before him. Suspicious, and for all the wrong reasons... Meanwhile, Sakuta and Kaede's father suddenly calls, saying that their mother wants to see her daughter. She was hospitalized because Kaede's condition had been too much for her to bear, so what could she possibly want now?",,75,"Animation, Drama, Fantasy","JP, JP, JP, JP, JP, JP, JP",7.608,2050242,0,4.07,7.608,60
1024541,The Teacher Who Promised the Sea,2023-11-10,"Ariadna discovers that her grandfather has been searching for the remains of his father, who disappeared during the Civil War. Determined to help him, she travels to Burgos, where a mass grave is being excavated, and where he could be buried. During her stay there, she will learn the story of Antoni Benaiges, a young teacher from Tarragona who was her grandfather's teacher before the war. Through an innovative pedagogical method, Antoni inspired his students and made them a promise: to take them to see the sea.",Based on the true story of Antoni Benaiges.,105,"Drama, History","ES, ES, ES, ES, , ES, ES",7.8,2232542,0,0.9734,7.8,105
1186387,Jhimma 2,2023-11-24,"To celebrate Indu's 75th birthday, the whole gang goes on a foreign trip as chaos ensues between young women and their mother-in-laws.",,137,"Comedy, Drama, Adventure, Family","IN, IN, , ",0.0,2284712,0,4.9872,0.0,0
1126128,13 Bombs,2023-12-28,An organization races against time to uncover the mastermind behind the placement of 13 bombs in Jakarta before the city falls into chaos.,Indonesia's Biggest Action Film This Year.,143,"Action, Crime, Thriller","ID, ID, ID, ID, ID, ID, KR",7.056,2466863,4600000,2.8321,7.056,27
1112357,Dogs at the Opera,2023-12-28,"Moscow, early 20th century: Stray dog Samson, fleeing from animal catchers, finds himself in the Bolshoy Theater, where he meets charming Margot, a pet of prima ballerina Anastasia. The plot thickens as the unique tiara that belonged to the Queen of Great Britain and that Anastasia has to wear in the fourth act, is stolen from the dressing room. Without the tiara, the show cannot go on, so Margot and Samson have to save the day to the sounds of the great Georges Bizet.",,74,"Animation, Adventure, Family","RU, RU",5.6,3063844,3000000,1.367,5.6,8
1063879,Infested,2023-12-27,"Residents of a rundown French apartment building battle against an army of deadly, rapidly reproducing spiders.",,106,"Horror, Thriller","FR, FR, FR, , , , , , ",6.623,2110014,0,3.491,6.623,505
1013221,100 Sundays,2023-11-23,"Antonio, a former shipyard worker, leads a mild and peaceful life: he plays bowls with friends, takes care of his elderly mother, has an ex-wife with whom he is on excellent terms and Emilia, his only and beloved daughter When Emilia announces to him one day that she has decided to get married, Antonio is filled with joy, he can finally fulfill his dream by giving her the reception they have always dreamed of together being able to count on the savings of a lifetime.However, the bank of which he has always been a client seems to be hiding something, the employees are suddenly elusive and the director inexplicably changes constantly.The task of paying for his daughter's wedding will prove increasingly difficult and Antonio will discover, against his will, that those who keep our treasures don't always keep our dreams as well.",,94,Drama,"IT, IT, IT",6.724,2020322,0,0.5749,6.724,172
